layer,neuron,activation,dropout,optimizer,learning rate,L1/L2,momentum,r2_error
4,40,relu,0.4,Adam,0.001,1.00E-05,,0.733912414
4,40,relu,0.4,Adam,0.0005,0,,0.671335246
4,40,relu,0.4,Adam,0.0005,1.00E-05,,0.69724035
4,40,tanh,0.4,Adam,0.01,0,,-0.002107223
4,40,tanh,0.4,Adam,0.01,1.00E-05,,0.068091577
4,40,tanh,0.4,Adam,0.001,0,,0.546236361
4,40,tanh,0.4,Adam,0.001,1.00E-05,,0.46344001
4,40,tanh,0.4,Adam,0.0005,0,,0.493253783
4,40,tanh,0.4,Adam,0.0005,1.00E-05,,0.624711173
4,80,relu,0.2,Adam,0.01,0,,0.715745607
4,80,relu,0.2,Adam,0.01,1.00E-05,,0.733983595
4,80,relu,0.2,Adam,0.001,0,,0.77596846
4,80,relu,0.2,Adam,0.001,1.00E-05,,0.776426387
4,80,relu,0.2,Adam,0.0005,0,,0.703710875
4,80,relu,0.2,Adam,0.0005,1.00E-05,,0.715721275
4,80,tanh,0.2,Adam,0.01,0,,0.562798682
4,80,tanh,0.2,Adam,0.01,1.00E-05,,0.683863039
4,80,tanh,0.2,Adam,0.001,0,,-0.352335337
4,80,tanh,0.2,Adam,0.001,1.00E-05,,0.377870885
4,80,tanh,0.2,Adam,0.0005,0,,-29.43451502
4,80,tanh,0.2,Adam,0.0005,1.00E-05,,-20.21765363
4,80,relu,0.4,Adam,0.01,0,,0.504301426
4,80,relu,0.4,Adam,0.01,1.00E-05,,0.637139193
4,80,relu,0.4,Adam,0.001,0,,0.760446549
4,80,relu,0.4,Adam,0.001,1.00E-05,,0.719661849
4,80,relu,0.4,Adam,0.0005,0,,0.68535229
4,80,relu,0.4,Adam,0.0005,1.00E-05,,0.733123823
4,80,tanh,0.4,Adam,0.01,0,,-1.421655699
4,80,tanh,0.4,Adam,0.01,1.00E-05,,-1.262773066
4,80,tanh,0.4,Adam,0.001,0,,0.136615635
4,80,tanh,0.4,Adam,0.001,1.00E-05,,0.258982046
4,80,tanh,0.4,Adam,0.0005,0,,-32.26190115
4,80,tanh,0.4,Adam,0.0005,1.00E-05,,-21.63248867
4,120,relu,0.2,Adam,0.01,0,,0.616100757
4,120,relu,0.2,Adam,0.01,1.00E-05,,0.723553666
4,120,relu,0.2,Adam,0.001,0,,0.76665625
4,120,relu,0.2,Adam,0.001,1.00E-05,,0.759956336
4,120,relu,0.2,Adam,0.0005,0,,0.740329448
4,120,relu,0.2,Adam,0.0005,1.00E-05,,0.721055803
4,120,tanh,0.2,Adam,0.01,0,,0.359538997
4,120,tanh,0.2,Adam,0.01,1.00E-05,,0.564575416
4,120,tanh,0.2,Adam,0.001,0,,-3.252490344
4,120,tanh,0.2,Adam,0.001,1.00E-05,,-3.036953995
4,120,tanh,0.2,Adam,0.0005,0,,-64.10951297
4,120,tanh,0.2,Adam,0.0005,1.00E-05,,-45.3617773
4,120,relu,0.4,Adam,0.01,0,,0.517870857
4,120,relu,0.4,Adam,0.01,1.00E-05,,0.578018643
4,120,relu,0.4,Adam,0.001,0,,0.768743297
4,120,relu,0.4,Adam,0.001,1.00E-05,,0.768652701
4,120,relu,0.4,Adam,0.0005,0,,0.733618014
4,120,relu,0.4,Adam,0.0005,1.00E-05,,0.74649287
4,120,tanh,0.4,Adam,0.01,0,,-1.572358349
4,120,tanh,0.4,Adam,0.01,1.00E-05,,0.329601453
4,120,tanh,0.4,Adam,0.001,0,,-0.054258653
4,120,tanh,0.4,Adam,0.001,1.00E-05,,-0.418774493
4,120,tanh,0.4,Adam,0.0005,0,,-238.2122097
4,120,tanh,0.4,Adam,0.0005,1.00E-05,,-286.8618189
6,40,relu,0.2,Adam,0.01,0,,0.56143807
6,40,relu,0.2,Adam,0.01,1.00E-05,,0.626085523
6,40,relu,0.2,Adam,0.001,0,,0.739080232
6,40,relu,0.2,Adam,0.001,1.00E-05,,0.739968421
6,40,relu,0.2,Adam,0.0005,0,,0.737787401
6,40,relu,0.2,Adam,0.0005,1.00E-05,,0.724621527
6,40,tanh,0.2,Adam,0.01,0,,0.616357697
6,40,tanh,0.2,Adam,0.01,1.00E-05,,0.552930773
6,40,tanh,0.2,Adam,0.001,0,,0.671242249
6,40,tanh,0.2,Adam,0.001,1.00E-05,,0.706826353
6,40,tanh,0.2,Adam,0.0005,0,,-0.187545574
6,40,tanh,0.2,Adam,0.0005,1.00E-05,,0.310529524
6,40,relu,0.4,Adam,0.01,0,,-0.065615446
6,40,relu,0.4,Adam,0.01,1.00E-05,,0.495152609
6,40,relu,0.4,Adam,0.001,0,,0.715977112
6,40,relu,0.4,Adam,0.001,1.00E-05,,0.707095519
6,40,relu,0.4,Adam,0.0005,0,,0.680827094
6,40,relu,0.4,Adam,0.0005,1.00E-05,,0.660512664
6,40,tanh,0.4,Adam,0.01,0,,0.279169577
6,40,tanh,0.4,Adam,0.01,1.00E-05,,0.26430291
6,40,tanh,0.4,Adam,0.001,0,,0.302613265
6,40,tanh,0.4,Adam,0.001,1.00E-05,,0.243397435
6,40,tanh,0.4,Adam,0.0005,0,,0.428604099
6,40,tanh,0.4,Adam,0.0005,1.00E-05,,0.558825398
6,80,relu,0.2,Adam,0.01,0,,0.3919909
6,80,relu,0.2,Adam,0.01,1.00E-05,,0.624626448
6,80,relu,0.2,Adam,0.001,0,,0.759009339
6,80,relu,0.2,Adam,0.001,1.00E-05,,0.763360632
6,80,relu,0.2,Adam,0.0005,0,,0.752731106
